run did1p	did1e	did2p	did2e	bk1p	bk1e	bk2p	bk2e	combo1p	combo1e	combo2p	combo2e	insert	bk_ix	didbk_ix

run.brin.sql.20200217_102246.txt    1.178	0.132	1.119	0.162	1.345	0.093	1.340	0.095	1.680	0.201	1.718	0.132	40	48k	48k
run.brin.sql.20200217_102355.txt	0.994	0.116	1.022	0.155	1.357	0.095	1.399	0.098	1.559	0.185	1.586	0.156	37	48k	48k
run.brin.sql.20200217_102501.txt	0.985	0.165	1.017	0.163	1.336	0.135	1.285	0.090	2.073	0.230	1.578	0.135	36	48k	48k
brin-avg________________________	1.043	0.138	1.053	0.160	1.346	0.108	1.341	0.094	1.771	0.205	1.627	0.141	37.7	48k	48k
~107k_winner____________________	brin	brin	btree	btree	btree	btree	brin	brin	btree	btree	btree	brin	btree	btree	btree
btree-avg_______________________	1.110	0.141	1.046	0.156	1.328	0.093	1.343	0.099	1.635	0.133	1.590	0.174	36.7	8K	8k
run.btree.sql.20200217_102554.txt	1.283	0.180	1.093	0.155	1.391	0.091	1.490	0.104	1.684	0.138	1.592	0.162	37	8K	8K
run.btree.sql.20200217_102640.txt	1.040	0.122	1.040	0.162	1.356	0.101	1.264	0.093	1.625	0.133	1.600	0.184	37	8K	8K
run.btree.sql.20200217_102728.txt	1.007	0.122	1.005	0.150	1.236	0.088	1.274	0.101	1.595	0.128	1.577	0.177	36	8K	8K

brin:	5
btree:	10